#eighty|h ˈæ ʃ ˈeɪ ɾ i
#three|h ˈæ ʃ θ ɹ ˈiː
&|ˈæ n d
&e|æ n d ˈiː
&m|æ n d ˈɛ m
&t|æ n d t ˈiː
'|
''|
''all|ˈɔː l
''freedoms''|f ɹ ˈiː d ə m z
''gtb|dʒ ˌiː t ˌiː b ˈiː
''him|h ˈɪ m
''if|ˈɪ f
''long|l ˈɔ ŋ
''now|n ˈaʊ
''the|ð ˈə
''ve|v ˈiː
'a|ˈeɪ
'a'ade|ɐ ˈeɪ d
'a'emero|ɐ ɪ m ˈɛ ɹ oʊ
'aadhi'|ˈɑː d h aɪ
'aatmanirbhar|ˈɑː t m ɐ n ˌɜː b h ɑːɹ
'abaa|ɐ b ˈɑː
'abaabaalaacawe|ɐ b ˈɑː b ɑː l ˌɑː k ɔː
'abaabaale|ɐ b ˈɑː b ɑː l
'abaadulaa|ɐ b ˈɑː dʒ uː l ˌɑː
'abaalaa|ɐ b ˈɑː l ɑː
'abaalaate|ɐ b ˈɑː l ɑː t
'abaalaatu|ɐ b ˈɑː l ɑː t ˌuː
'abaale|ɐ b ˈɑː l
'abaalocaacene|ɐ b ˈɑː l ə k ˌɑː s iː n
'abaaloce|ɐ b ˈɑː l oʊ s
'abaalu|ɐ b ˈɑː l uː
'abaarara|ɐ b ˈɑːɹ ɹ ˈɑːɹ ɹ ə
'abaare|ɐ b ˈɑːɹ
'abaasanegaa|ɐ b ˈɑː s eɪ ŋ ɡ ˌɑː
'abaata|ɐ b ˈɑː ɾ ə
'abaataacawe|ɐ b ˈɑː ɾ ɑː k ˌɔː
'abaate|ɐ b ˈɑː t
'abaatee|ɐ b ˈɑː ɾ iː
'abaatocaacene|ɐ b ˈɑː ɾ ə k ˌɑː s iː n
'abaatoce|ɐ b ˈɑː ɾ oʊ s
'abaaye|ɐ b ˈɑː aɪ
'ababaa|ɐ b ˈæ b ɑː
'abagaazoce|ɐ b ˈæ ɡ ɑː z ˌoʊ s
'abalaashe|ɐ b ɐ l ˈɑː ʃ
'abaraa|ɐ b ˈæ ɹ ɑː
'abaraashe|ɐ b ɐ ɹ ˈɑː ʃ
'abarataace|ɐ b ˈæ ɹ ɐ t ˌɑː s
'abare|ɐ b ˈɛɹ
'abawe|ɐ b ˈɔː
'abe|ˈeɪ b
'abedalaa|ɐ b ˈɛ d ɐ l ˌɑː
'abedu|ɐ b ˈɛ d uː
'abedule|ɐ b ˈɛ dʒ uː l
'abeete|ˈæ b iː t
'abeetutaa|ˈæ b iː t ˌuː ɾ ɑː
'abera|ˌæ b ɚ ɹ ˈæ
'aberaare|ˌæ b ɚ ɹ ˈɑːɹ
'aberaariwe|ˌæ b ɚ ɹ ˈɑːɹ ɹ ɪ w
'aberaariwoce|ˌæ b ɚ ɹ ˈɑːɹ ɹ ˈiː w oʊ s
'aberane|ˌæ b ɚ ɹ ˈeɪ n
'aberawe|ˌæ b ɚ ɹ ˈɔː
'aberee|ˌæ b ɚ ɹ ˈiː
'abereha|ˌæ b ɚ ɹ ˈɛ h ə
'aberehame|ˌæ b ɚ ɹ ˈɛ h eɪ m
'abero|ˈæ b ɚ ɹ ˌoʊ
'abeyaata|ɐ b ˈeɪ ɑː ɾ ə
'abeyotaawi|ɐ b ˈeɪ ə t ˌɑː w i
'abeyote|ɐ b ˈeɪ oʊ t
'abeyotu|ɐ b ˈeɪ ə t ˌuː
'abezaanyaawe|ɐ b ˈɛ z ɑː n ɪ  ˌɑː w
'abezaanyaawocu|ɐ b ˈɛ z ɑː n ɪ  ˌɑː w ə k ˌuː
'abezaanyocu|ɐ b ˈɛ z ɑː n ɪ  ˌɑː k uː
'abiye|ˈæ b ɪ  ˌaɪ
'abner|ɐ b n ˈɜː
'abolish|ɐ b ˈɑː l ɪ ʃ
'abuna|ɐ b ˈuː n ə
'abwaraa|ɐ b w ˈɔː ɹ ɑː
'acaa|ɐ k ˈɑː
'acaawe|ɐ k ˈɑː w
'acawe|ɐ k ˈɔː
'acaweme|ɐ k ˈɔː m
'acawene|ɐ k ˈɔː n
'accidents'|ˈæ k s ɪ d ə n t s
'acene|ɐ s ˈiː n
'achaawe|ɐ tʃ ˈɑː w
'achawaawate|ɐ tʃ ˈæ w ɑː w ˌeɪ t
'achere|ˈeɪ k ɹ ə
'acheru|ˈeɪ k ɹ uː
'acquire'|ɐ k w ˈaɪɚ
'action|ˈæ k ʃ ə n
'adaadise|ɐ d ˈɑː d aɪ z
'adaamaa|ɐ d ˈɑː m ɑː
'adaame|ɐ d ˈɑː m
'adaana|ɐ d ˈɑː n ə
'adaaraashe|ɐ d ˌɑːɹ ɹ ˈɑː ʃ
'adaaraashu|ɐ d ˌɑːɹ ɹ ˈɑː ʃ uː
'adaare|ɐ d ˈɑːɹ
'adaari|ɐ d ˈɑːɹ ɹ i
'adabaabaaye|ɐ d ˈæ b ɑː b ˌɑː aɪ
'adabaabaayu|ɐ d ˈæ b ɑː b ˌɑː j uː
'adafe|ɐ d ˈeɪ f
'adaga|æ d ˈɑː ɡ ə
'adagaa|ˈæ d ɐ ɡ ˌɑː
'adagaawe|ˈæ d ɐ ɡ ˌɑː w
'adagaawoce|ˈæ d ɐ ɡ ˌɑː w oʊ s
'adaganyaa|ˈæ d ɐ ɡ ˌæ n ɪ  ˌɑː
'adage|ˈæ d ɪ dʒ
'adagee|ˈæ d ɐ dʒ ˌiː
'adala|ɐ d ˈɑː l ə
'adane|ɐ d ˈeɪ n
'adanezaazhe|ɐ d ˈeɪ n z ɑː ʒ
'adanezezhee|ɐ d ˈeɪ n z ɪ ʒ ˌiː
'adara|ɐ d ˈɑːɹ ɹ ə
'adaraa|ɐ d ˈæ ɹ ɑː
'adaraadaari|ɐ d ˌæ ɹ ɑː d ˈɑːɹ ɹ i
'adaraga|ɐ d ɐ ɹ ˈɑː ɡ ə
'adarage|ɐ d ˈæ ɹ ɪ dʒ
'adaragu|ɐ d ɐ ɹ ˈɑː ɡ uː
'adarajaajate|ɐ d ˈæ ɹ ɐ dʒ ˌɑː dʒ eɪ t
'adarasa|ɐ d ɐ ɹ ˈɑː s ə
'adarega|ɐ d ˈɛɹ ɡ ə
'adaregaalahu|ɐ d ˌɛɹ ɡ ɑː l ˈɑː h uː
'adaroce|ɐ d ˈæ ɹ oʊ s
'adaru|ɐ d ˈɑːɹ ɹ uː
'adaye|ɐ d ˈeɪ
'added|ˈæ d ᵻ d
'ade|ɐ d ˈɛ
'adebaaraate|ɐ d ɪ b ˈɑːɹ ɹ ɑː t
'ademaa|ɐ d ˈɛ m ɑː
'ademaawe|ɐ d ˈɛ m ɑː w
'adenaaqote|ˈæ d ə n ˌɑː k oʊ t
'adenanye|ˈæ d ə n ˌæ n aɪ
'adera|ɐ d ˈɜː ɹ ə
'aderaashaacawe|ɐ d ˈɜː ɹ ɑː ʃ ˌɑː k ɔː
'aderega|ɐ d ˈɜː ɹ ɛ ɡ ə
'aderegaa|ɐ d ˈɜː ɹ ɪ ɡ ˌɑː
'aderegane|ɐ d ˈɜː ɹ ɪ ɡ ˌeɪ n
'aderegawaa|ɐ d ˈɜː ɹ ɪ ɡ ˌæ w ɑː
'aderegawaale|ɐ d ˈɜː ɹ ɪ ɡ ˌæ w ɑː l
'aderegawe|ɐ d ˈɜː ɹ ɪ ɡ ˌɔː
'aderegwa|ɐ d ˈɜː ɹ ɛ ɡ w ə
'aderegwaa|ɐ d ˈɜː ɹ ɪ ɡ w ˌɑː
'aderegwaale|ɐ d ˈɜː ɹ ɪ ɡ w ˌɑː l
'aderesawe|ɐ d ˈɜː ɹ ɪ s ˌɔː
'adewaa|ɐ d w ˈɑː
'adise|ˈæ d aɪ z
'adisitwa|ˈæ d ɪ s ˌɪ t w ə
'adisoce|ˈæ d ɪ s ˌoʊ s
'adisocu|ˈæ d ɪ s ˌɑː k uː
'adisu|æ d ˈɪ s uː
'adiswa|ˈæ d ɪ s w ə
'adventure|ɐ d v ˈɛ n tʃ ɚ
'adventurer's|ɐ d v ˈɛ n tʃ ɚ ɹ ɚ z
'afa|ɐ f ˈæ
'afaacene|ɐ f ˈɑː s iː n
'afaafe|ɐ f ˈɑː f
'afaare|ɐ f ˈɑːɹ
'afaaroce|ɐ f ˈɑːɹ ɹ oʊ s
'afaathaanye|ɐ f ˈɑː θ ɑː n ˌaɪ
'afanaa|ɐ f ˈæ n ɑː
'afaneguse|ɐ f ˈeɪ ŋ ɡ j uː s
'afaqalaathee|ɐ f ˈæ k ɐ l ˌɑː θ iː
'afatsaatsame|ɐ f ˈæ t s ɑː t s ˌeɪ m
'afatsaatsamu|ɐ f ˌæ t s ɑː t s ˈɑː m uː
'afawareqi|ɐ f ˈæ w ɛɹ k i
'afe|ɐ f ˈɛ
'afee|ˈæ f iː
'afegaanisetaane|ɐ f ˈɛ ɡ ɑː n ˌaɪ s t ɑː n
'afeqaari|ɐ f ɪ k ˈɑːɹ ɹ i
'aferaashe|ɐ f ɚ ɹ ˈɑː ʃ
'aferikaa|ɐ f ˈɛ ɹ ɪ k ˌɑː
