##|##
#cetug|#cɛtug
#jiloor|#ɟilɔːr
#xalam|#xɐlɐm
#xol|#xɔl
$100|$100
%|%
&|&
'|'
'''|'''
'''juddalukaayu|'''ɟudːɐlukɐːju
'''jëf|'''ɟəf
'''ku|'''ku
'''waaye|'''wɐːjɛ
'''yal|'''jɐl
''bennoo|''bɛnːɔː
''duñu|''duɲu
''li|''li
''xew|''xɛw
'0'|'0'
'1'|'1'
'agora'|'ɐgɔrɐ'
'akwadakk'|'ɐkwɐdɐkːʰ'
'asi'|'ɐsi'
'buntu|'bun̩tu
'cdp'|'cdp'
'fonteen'|'fɔn̩tɛːn'
'i'd|'i'd
'iniwersite'|'iniwɛrsitɛ'
'kiltiir'|'kiltiːr'
'ku|'ku
'loriye'|'lɔrijɛ'
'na|'nɐ
'ovni'|'ɔvni'
'parténon'|'pɐrtenɔn'
'yoonu|'jɔːnu
'yàqkat'|'jɐqkɐt'
+|+
0|0
00|00
000|000
000i|000i
01|01
029|029
03|03
03%|03%
04|04
05|05
066|066
06″|06″
07|07
075|075
090|090
096|096
0″|0″
1|1
1%|1%
10|10
100|100
1000|1000
1000i|1000i
1000iy|1000ij
100f|100f
100i|100i
1020|1020
1046|1046
105|105
105i|105i
108|108
109|109
10eelu|10ɛːlu
10i|10i
11|11
110|110
112|112
1132|1132
114|114
115|115
1150|1150
117i|117i
11870g|11870g
119|119
12|12
120|120
1220|1220
123|123
129|129
12i|12i
13|13
1300i|1300i
1324h|1324h
133i|133i
1350|1350
135i|135i
136|136
1374|1374
14|14
1400|1400
141|141
1425|1425
1431|1431
1441|1441
147i|147i
148i|148i
1498|1498
14i|14i
15|15
15%|15%
150|150
150i|150i
1549|1549
159|159
15i|15i
16|16
160|160
1600|1600
16010|16010
1610|1610
1614|1614
1616|1616
16208i|16208i
1647|1647
165|165
167|167
1672|1672
168|168
169|169
16i|16i
16w|16w
17|17
1701|1701
171|171
1776|1776
1787|1787
1789|1789
1792|1792
1792g|1792g
17i|17i
17w50|17w50
18|18
180|180
1800|1800
1804g|1804g
180i|180i
181|181
1815g|1815g
1818|1818
1828g|1828g
1830|1830
1842g|1842g
1848g|1848g
186|186
1860|1860
1864|1864
1867|1867
1870|1870
1870g|1870g
1871|1871
1879|1879
1882|1882
1882g|1882g
1885|1885
1887|1887
18i|18i
19|19
190|190
1902|1902
1906|1906
1909|1909
1913|1913
1919|1919
192|192
1921|1921
1924|1924
1926|1926
1927|1927
1930|1930
1932|1932
1937g|1937g
1939|1939
1940|1940
1943|1943
1945|1945
1945g|1945g
1948|1948
1951|1951
196|196
1960|1960
1960mogadisu|1960mɔgɐdisu
1961|1961
1963|1963
1967|1967
1968|1968
1972|1972
1974|1974
1975|1975
1978|1978
1979|1979
1980|1980
1981|1981
1982|1982
1986|1986
1989|1989
1990|1990
1992|1992
1994|1994
1995|1995
1997|1997
1998|1998
19eel|19ɛːl
19h24|19h24
19h25|19h25
19h26|19h26
19h27|19h27
19h29|19h29
19h30|19h30
19i|19i
19w|19w
19’’|19’’
1f|1f
1milioŋi|1miliɔni
2|2
2'|2'
20|20
200|200
2000|2000
2002|2002
2004|2004
2005|2005
2006|2006
2007|2007
2008|2008
2009|2009
200i|200i
2010|2010
2011|2011
2012|2012
2013|2013
2014|2014
2015|2015
2018|2018
2019|2019
2020|2020
206|206
20i|20i
21|21
211|211
2120|2120
213|213
214|214
215|215
21i|21i
21w|21w
22|22
220|220
222|222
223|223
224|224
22eelu|22ɛːlu
22i|22i
22°|22°
23|23
23%|23%
2323|2323
2335|2335
236|236
24|24
248|248
249i|249i
24°|24°
25|25
250|250
2515i|2515i
255|255
258|258
25f|25f
25i|25i
26|26
26%|26%
26i|26i
27|27
2727|2727
28|28
283|283
289|289
28i|28i
29|29
290|290
29188km2|29188km2
292|292
295|295
297|297
29i|29i
2eelu|2ɛːlu
2i|2i
2ki|2ki
2ko|2kɔ
2pi|2pi
2stv|2stv
2tim|2tim
2éme|2emɛ
3|3
30|30
300|300
300i|300i
304|304
30i|30i
31|31
31012|31012
312|312
317|317
32|32
320|320
325|325
327|327
33|33
336|336
34|34
343|343
34eelu|34ɛːlu
35|35
35%|35%
3500|3500
35i|35i
36|36
361|361
37|37
374|374
375|375
38|38
389|389
393|393
3eel|3ɛːl
3eelu|3ɛːlu
3i|3i
4|4
40|40
40%|40%
400|400
407|407
40f|40f
40i|40i
41|41
410|410
417|417
419|419
42|42
422|422
424|424
426|426
427|427
43|43
43′|43′
44|44
44eel|44ɛːl
45|45
454|454
45i|45i
461|461
47|47
472|472
474|474
48|48
49|49
490|490
4eel|4ɛːl
4i|4i
5|5
50|50
500|500
50cm|50cm
51|51
511|511
52|52
528i|528i
531|531
539|539
53′|53′
54|54
55|55
55%|55%
550|550
551|551
555|555
56|56
56533|56533
57|57
570|570
58|58
58%|58%
586|586
5h17|5h17
5h18|5h18
5h19|5h19
5h20|5h20
5h22|5h22
5h23|5h23
5h25|5h25
5h26|5h26
5i|5i
5w|5w
6|6
6%|6%
60|60
60%|60%
613|613
615|615
622|622
626|626
63|63
633i|633i
64|64
645|645
65|65
65%|65%
6577|6577
65i|65i
66|66
668|668
66i|66i
67|67
672|672
677533|677533
68|68
69|69
697|697
6eelu|6ɛːlu
6h30|6h30
6i|6i
7|7
70|70
70%|70%
703|703
706087363|706087363
706408191|706408191
706453629|706453629
707|707
71|71
72%|72%
720|720
74|74
741|741
75|75
750|750
753|753
755|755
76|76
760228823|760228823
761212716|761212716
761366733|761366733
762536125|762536125
762536550|762536550
762580064|762580064
763058553|763058553
763364132|763364132
763390884|763390884
764098776|764098776
764511504|764511504
764631373|764631373
764669154|764669154
764921909|764921909
764983388|764983388
765065407|765065407
765922095|765922095
766763497|766763497
767244379|767244379
767416118|767416118
768|768
768667495|768667495
76900|76900
77|77
770|770
770120858|770120858
771184651|771184651
771769162|771769162
772215185|772215185
772303474|772303474
773188711|773188711
773209330|773209330
773242415|773242415
773251972|773251972
773278656|773278656
773345951|773345951
773358283|773358283
773420282|773420282
774613382|774613382
774795936|774795936
774954739|774954739
77561|77561
775854734|775854734
776270903|776270903
776645651|776645651
776819068|776819068
776982322|776982322
777058357|777058357
777917070|777917070
777931798|777931798
778812011|778812011
779342890|779342890
78|78
781087959|781087959
782i|782i
783694882|783694882
783820161|783820161
783895281|783895281
786305763|786305763
789|789
79|79
79i|79i
7i|7i
7u|7u
8|8
80|80
800|800
809|809
80i|80i
81|81
810|810
82|82
839|839
840|840
85|85
85%|85%
86|86
866|866
873|873
885|885
89|89
894|894
898|898
89i|89i
8i|8i
9|9
9%|9%
90|90
90i|90i
912|912
913|913
918|918
92|92
926|926
93|93
930|930
931|931
939|939
942|942
95%|95%
96|96
97|97
97%|97%
971|971
98|98
986|986
99|99
9i|9i
9w|9w
=|=
```|```
```aji|```ɐɟi
```balaa|```bɐlɐː
```gott|```gɔtːʰ
```wolof|```wɔlɔf
a|ɐ
aa|ɐː
aada|ɐːdɐ
aadaa|ɐːdɐː
aadaak|ɐːdɐːk
aadaam|ɐːdɐːm
aadaay|ɐːdɐːj
aadam|ɐːdɐm
aadama|ɐːdɐmɐ
aadawoo|ɐːdɐwɔː
aaday|ɐːdɐj
aadi|ɐːdi
aafe|ɐːfɛ
aag|ɐːg
aajar|ɐːɟɐr
aajewul|ɐːɟɛwul
aajo|ɐːɟɔ
aajoo|ɐːɟɔː
aajoom|ɐːɟɔːm
aajowoo|ɐːɟɔwɔː
aajowoowul|ɐːɟɔwɔːwul
aajoy|ɐːɟɔj
aaju|ɐːɟu
aakimoo|ɐːkimɔː
aakimu|ɐːkimu
aal|ɐːl
aalamiina|ɐːlɐmiːnɐ
aale|ɐːlɛ
aali|ɐːli
aalim|ɐːlim
aaliya|ɐːlijɐ
aalleen|ɐːɫːɛːn
aam|ɐːm
aamadu|ɐːmɐdu
aamerig|ɐːmɛrig
aamerig»|ɐːmɛrig»
aamerig’ati|ɐːmɛrig’ɐti
aamerik|ɐːmɛrik
aamidu|ɐːmidu
aamiin|ɐːmiːn
aamina|ɐːminɐ
aamoon|ɐːmɔːn
aamrig|ɐːmrig
aamu|ɐːmu
aan|ɐːn
aana|ɐːnɐ
aar|ɐːr
aaraale|ɐːrɐːlɛ
aare|ɐːrɛ
aarees|ɐːrɛːs
aari|ɐːri
aarms|ɐːrms
aarnik|ɐːrnik
aaron|ɐːrɔn
aaroo|ɐːrɔː
aaroona|ɐːrɔːnɐ
aartu|ɐːrtu
aaru|ɐːru
aarug|ɐːrug
aasi|ɐːsi
aat|ɐːt
aaw|ɐːw
aawe|ɐːwɛ
aawlu|ɐːwlu
aawo|ɐːwɔ
aawoloo|ɐːwɔlɔː
aaxul|ɐːxul
aay|ɐːj
aaya|ɐːjɐ
aaya'b|ɐːjɐ'b
aayal|ɐːjɐl
aaye|ɐːjɛ
aayee|ɐːjɛː
aayeetul|ɐːjɛːtul
aayelu|ɐːjɛlu
aayi|ɐːji
aayoo|ɐːjɔː
aayoon|ɐːjɔːn
aayul|ɐːjul
aa…|ɐː…
ab|ɐb
abaabakar|ɐbɐːbɐkɐr
abadin|ɐbɐdin
abadon|ɐbɐdɔn
abal|ɐbɐl
abalaantee|ɐbɐlɐːn̩tɛː
abalaate|ɐbɐlɐːtɛ
abalante|ɐbɐlɐn̩tɛ
abb|ɐbː
abbee|ɐbːɛː
abd|ɐbd
abdalaa|ɐbdɐlɐː
abdalaah|ɐbdɐlɐːh
abdalla|ɐbdɐɫːɐ
abdillaa|ɐbdiɫːɐː
abdou|ɐbdɔu
abdu|ɐbdu
abdul|ɐbdul
abdulaay|ɐbdulɐːj
abeid|ɐbɛid
abel|ɐbɛl
abi|ɐbi
abia|ɐbiɐ
abidin|ɐbidin
abii|ɐbiː
abiib|ɐbiːb
abiibu|ɐbiːbu
abiihi|ɐbiːhi
abijah|ɐbiɟɐh
abijaη|ɐbiɟɐη
abila|ɐbilɐ
abilen|ɐbilɛn
abiya|ɐbijɐ
ablaay|ɐblɐːj
ablay|ɐblɐj
abo|ɐbɔ
aboo|ɐbɔː
abool|ɐbɔːl
abraham|ɐbrɐhɐm
abre|ɐbrɛ
absa|ɐbsɐ
abu|ɐbu
abuu|ɐbuː
abuubakar|ɐbuːbɐkɐr
abuudabi|ɐbuːdɐbi
abóo|ɐbɔː
acacia|ɐcɐciɐ
academie|ɐcɐdɛmiɛ
acanthes|ɐcɐn̩thɛs
acc|ɐcːʰ
accipitridae|ɐcːʰipitridɐɛ
accul|ɐcːʰul
ace|ɐcɛ
achaicus|ɐchɐicus
achaïcus|ɐchɐïcus
actes|ɐctɛs
ad|ɐd
adab|ɐdɐb
adam|ɐdɐm
adama|ɐdɐmɐ
addiis|ɐdːiːs
addina|ɐdːinɐ
addinaam|ɐdːinɐːm
addu|ɐdːu
adduna|ɐdːunɐ
addunay|ɐdːunɐj
adiisub|ɐdiːsub
adio|ɐdiɔ
adiratig|ɐdirɐtig
adiriye|ɐdirijɛ
adiya|ɐdijɐ
adou|ɐdɔu
adounë|ɐdɔunə
adreesu|ɐdrɛːsu
adriano|ɐdriɐnɔ
adu|ɐdu
aduna|ɐdunɐ
adunà|ɐdunɐ
ady|ɐdj
aegypiinae|ɐɛgjpiːnɐɛ
af|ɐf
afal|ɐfɐl
afeer|ɐfɛːr
afeeri|ɐfɛːri
aferkiw|ɐfɛrkiw
afia|ɐfiɐ
afik|ɐfik
afirig|ɐfirig
afirik|ɐfirik
afiya|ɐfijɐ
aflaaton|ɐflɐːtɔn
aflaton|ɐflɐtɔn
aforo|ɐfɔrɔ
afp|ɐfp
africaines|ɐfricɐinɛs
africaine”|ɐfricɐinɛ”
africanus|ɐfricɐnus
afridi|ɐfridi
afrig|ɐfrig
afrigu|ɐfrigu
afrig’’|ɐfrig’’
afrig…|ɐfrig…
afrik|ɐfrik
afrika|ɐfrikɐ
afrikee|ɐfrikɛː
afritugalasi|ɐfritugɐlɐsi
aftartu|ɐftɐrtu
afyon|ɐfjɔn
ag|ɐg
agabus|ɐgɐbus
against|ɐgɐinst
agaripa|ɐgɐripɐ
agavacea|ɐgɐvɐcɛɐ
agbohou|ɐgbɔhɔu
age|ɐgɛ
agrig|ɐgrig
agrippa|ɐgripːʰɐ
agsee|ɐgsɛː
agseegun|ɐgsɛːgun
agsi|ɐgsi
agul|ɐgul
aguleen|ɐgulɛːn
agum|ɐgum
agun|ɐgun
